epoch,train_loss,valid_loss,accuracy,time
0,6.184502124786377,6.103021621704102,0.02388737164437771,1:09:12
1,5.260776519775391,5.150834560394287,0.0917704775929451,1:11:19
2,4.560870170593262,4.414591312408447,0.1649886518716812,1:04:39
3,4.02469539642334,3.9672553539276123,0.2204788625240326,50:12
4,3.676950216293335,3.617410182952881,0.2672995924949646,48:11
5,3.377290725708008,3.3925869464874268,0.3007085621356964,48:10
6,3.18745493888855,3.1806743144989014,0.333135724067688,48:16
7,3.006661891937256,3.055314540863037,0.3539758324623108,48:09
8,2.8156228065490723,2.919447660446167,0.3771222233772278,53:42
9,2.6608681678771973,2.8230621814727783,0.394062876701355,1:01:27
10,2.4926156997680664,2.743471145629883,0.40878063440322876,48:10
11,2.3291423320770264,2.6956846714019775,0.41851526498794556,48:16
12,2.268354892730713,2.620584487915039,0.43138980865478516,48:08
13,2.1630842685699463,2.570185899734497,0.4413837790489197,48:27
14,2.053415536880493,2.539738893508911,0.44760802388191223,48:19
15,1.9641692638397217,2.504520893096924,0.45518454909324646,48:16
16,1.8819115161895752,2.477221727371216,0.4604177176952362,51:55
17,1.7955665588378906,2.4619338512420654,0.4640948474407196,1:06:21
18,1.763031244277954,2.449171781539917,0.4668642580509186,48:46
19,1.7117058038711548,2.4321300983428955,0.47055062651634216,1:03:32
